city,state,confirmed,deaths,estimated_population_2019
Irará,BA,2023,29,29034.0
Irecê,BA,10454,151,72967.0
Itabela,BA,1923,72,30584.0
Itaberaba,BA,7645,151,64489.0
Itabuna,BA,34822,712,213223.0
Itacaré,BA,1257,27,28296.0
Itaeté,BA,420,11,16056.0
Itagi,BA,969,23,12351.0
Itagibá,BA,1247,29,14579.0
Itagimirim,BA,697,15,6869.0
Itaguaçu da Bahia,BA,671,8,14429.0
Itaju do Colônia,BA,410,6,6682.0
Itajuípe,BA,2781,55,20491.0
Itamaraju,BA,8019,159,64486.0
Itamari,BA,557,11,8035.0
Itambé,BA,1921,20,23049.0
Itanagra,BA,323,8,6441.0
Itanhém,BA,1408,40,19405.0
Itaparica,BA,1426,38,22228.0
Itapebi,BA,733,25,10259.0
Itapetinga,BA,6206,152,76147.0
Itapicuru,BA,1629,24,35576.0
Itapitanga,BA,933,15,10313.0
Itapé,BA,825,29,8761.0
Itaquara,BA,698,9,8319.0
Itarantim,BA,731,28,19747.0
Itatim,BA,857,26,14487.0
Itiruçu,BA,1005,25,12576.0
Itiúba,BA,1696,39,36089.0
Itororó,BA,3370,34,20382.0
Ituaçu,BA,1937,26,18962.0
Ituberá,BA,1896,51,28602.0
Iuiu,BA,945,12,10994.0
Jaborandi,BA,751,10,8385.0
Jacaraci,BA,820,18,14842.0
Jacobina,BA,7262,110,80518.0
Jaguaquara,BA,6169,64,54423.0
Jaguarari,BA,2260,50,33570.0
Jaguaripe,BA,1039,21,18788.0
Jandaíra,BA,639,13,10709.0
Jequié,BA,18159,397,155966.0
Jeremoabo,BA,2257,47,40463.0
Jiquiriçá,BA,1049,27,14537.0
Jitaúna,BA,1001,30,11166.0
João Dourado,BA,1792,51,25188.0
Juazeiro,BA,18752,417,216707.0
Jucuruçu,BA,918,11,9126.0
Jussara,BA,710,11,15284.0
Jussari,BA,663,11,5833.0
Jussiape,BA,368,9,6186.0
Lafaiete Coutinho,BA,438,6,3724.0
Lagoa Real,BA,859,10,15665.0
Laje,BA,1928,33,23840.0
Lajedinho,BA,299,1,3783.0
Lajedo do Tabocal,BA,703,14,8562.0
Lajedão,BA,490,8,3955.0
Lamarão,BA,435,8,8307.0
Lapão,BA,2318,35,27223.0
Lauro de Freitas,BA,24016,532,198440.0
